Designator,Footprint,Quantity,Value,LCSC Part #
A1,Pimoroni_PGA2350,1,PGA2350,
A2,PCM5102A_Board,1,PCM5102A,
C1,CP_Radial_D6.3mm_P2.50mm,1,100u/16V,
"C2, C3, C5, C6, C8",C_Disc_D5.0mm_W2.5mm_P5.00mm,5,100n,
C4,CP_Radial_D5.0mm_P2.50mm,1,22u/10V,
C7,CP_Radial_D5.0mm_P2.50mm,1,22u/16V,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,M3,
J1,TE_MATE-N-LOK_350211-1_1x04_P5.08mm_Vertical,1,MOLEX IN,
J2,TE_MATE-N-LOK_350211-1_1x04_P5.08mm_Vertical,1,MOLEX TO DRIVE,
J3,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,PWR SWITCH,
J4,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,12V TO BUCK,
J5,IDC-Header_2x20_P2.54mm_Vertical,1,IDE 40,
J6,USB_Micro_DIP_1x05_P2.54mm,1,USB TO EVERDRIVE,
J7,PinHeader_1x05_P2.54mm_Vertical,1,SWD+UART,
J8,PinHeader_1x03_P2.54mm_Vertical,1,PANEL POT 10k,
J9,PinHeader_2x10_P2.54mm_Vertical,1,SPARE GPIO,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
TP1,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,+5V,
TP2,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,+3V3,
TP3,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,+12V,
TP4,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,GND,
