Designator,Mid X,Mid Y,Rotation,Layer
A1,149.5,-156.5,0.0,top
A2,107.6975,-159.1,0.0,top
C1,173.75,-210.5,0.0,top
C2,164.75,-210.75,0.0,top
C3,143.25,-138.0,90.0,top
C4,88.205113,-159.5,180.0,top
C5,88.25,-165.75,180.0,top
C6,148.14,-138.0,90.0,top
C7,136.5,-136.5,90.0,top
C8,171.5,-155.25,0.0,top
H1,86.5,-52.0,0.0,top
H2,213.0,-52.0,0.0,top
H3,213.0,-208.0,0.0,top
H4,86.5,-208.0,0.0,top
J1,108.46,-210.0,0.0,top
J2,192.0,-210.0,0.0,top
J3,149.96,-209.5,0.0,top
J4,85.5775,-195.745,270.0,top
J5,149.48,-190.23,270.0,top
J6,139.375,-54.85,270.0,top
J7,105.0,-134.58,0.0,top
J8,110.0,-58.5,90.0,top
J9,192.73,-129.15,180.0,top
R1,165.25,-151.41,270.0,top
TP1,213.5,-179.9,0.0,top
TP2,213.5,-183.45,0.0,top
TP3,213.5,-187.0,0.0,top
TP4,213.5,-190.55,0.0,top
